Generator loss,Critic loss,Gradient Penalty loss
-0.16264635,-0.29036042,0.098030105
1.1263393,-0.47388437,0.13771114
0.31293577,-0.411146,0.1672934
1.2569842,-0.61105794,0.14613274
0.031954408,-0.30752507,0.08912272
-0.7916508,-0.39926314,0.09380555
1.6819843,-0.30393976,0.09569767
-1.3665061,-0.2769575,0.109685145
0.43472853,-0.34940165,0.11576792
-0.6332222,-0.44963703,0.107666925
2.019,-0.35743043,0.10120318
0.431273,-0.36129656,0.124277316
-1.4287777,-0.45297834,0.106728725
-0.1330579,-0.3784171,0.11889704
-2.837313,-0.30239803,0.09481251
1.0710495,-0.33052707,0.12946196
-0.17158198,-0.6964869,0.13277593
1.9877988,-0.47823885,0.118832655
-0.23407775,-0.3804271,0.08775269
-0.9005894,-0.35912707,0.08201673
3.6936004,-0.23194371,0.18358101
-2.2065544,-0.09423342,0.09263225
1.271075,-0.17981713,0.10576969
1.8079816,-0.28093752,0.08448261
-2.490699,-0.18052319,0.10141608
2.2175243,-0.3099635,0.09424469
0.17048001,-0.3806659,0.09638645
-0.28233922,-0.15006253,0.1553829
-1.5950403,-0.2096255,0.08048832
-1.7412529,-0.22625847,0.07315892
0.5583209,-0.26396826,0.084157676
1.4084868,-0.39319006,0.10747485
0.9359025,-0.16744761,0.089008085
0.604028,-0.3014519,0.08779974
0.95721805,-0.3865153,0.100395575
0.95514303,-0.24117714,0.07972012
0.5062063,-0.15009643,0.08439658
0.56246173,-0.17727973,0.09541106
2.684105,-0.26750877,0.09108237
0.12696052,-0.3429448,0.072380185
3.9236937,-0.11796649,0.11955706
0.17948443,-0.5354411,0.10422826
-0.32182962,-0.37929252,0.06893727
-0.43575805,-0.116636224,0.08210794
-1.0207455,-0.26364177,0.0780041
-0.57543916,0.1485534,0.084271386
-0.9552719,-0.17507519,0.07937202
-1.2820227,-0.18029289,0.06489773
1.8563435,-0.27363774,0.09156541
0.4858278,-0.1487443,0.098620735
-0.6339377,-0.1920741,0.10367895
1.3373423,-0.14349185,0.06602709
0.19375187,-0.15613344,0.075790554
1.9430217,-0.11895437,0.07537189
-1.2070676,-0.13865094,0.06276764
2.1320407,-0.30534336,0.08120012
-1.6809586,-0.26306182,0.07848663
1.3338193,-0.20263645,0.052341424
-2.578211,-0.18752839,0.08410712
-1.2095478,-0.20664464,0.087741695
-2.2366214,-0.19810677,0.054788344
-3.5150127,-0.11176391,0.04440046
-2.962772,-0.32663754,0.08510094
-1.3237642,-0.1567679,0.0955927
-3.045953,0.015726475,0.058240347
-1.9990736,-0.16058406,0.06667098
1.8558543,-0.16915852,0.10589553
0.21051055,-0.1923922,0.0783874
0.7584437,-0.12626591,0.06698966
1.2861536,-0.22804677,0.07113646
-3.2544985,-0.08080404,0.04660113
-3.1922352,-0.17548022,0.062408786
-1.7618741,-0.17797063,0.048021805
-1.13919,-0.17623767,0.05768815
-3.1443977,-0.15931408,0.07287442
-0.32632083,-0.23461701,0.07595909
-1.2653723,0.054259937,0.058850832
-2.9652147,0.008573348,0.07645606
-3.8369312,-0.060711898,0.07743325
-5.8796997,-0.16892384,0.074867524
-0.18778098,-0.04559774,0.062717125
-2.0328088,-0.21977362,0.08312513
-0.9331771,-0.049441796,0.05370427
-0.3745985,-0.09708189,0.037394624
-1.2305448,-0.10611093,0.059912745
-0.8362419,-0.20005862,0.047056902
-0.61095285,-0.15884884,0.048472993
-3.9114122,-0.19383459,0.08534121
-4.21266,-0.088461235,0.05328219
-3.4909134,-0.14597239,0.059438758
-0.6101498,-0.10560249,0.06300464
-1.8703717,-0.10501219,0.06303725
-2.31001,-0.09788522,0.054263342
-0.7702568,-0.21041189,0.05052379
-2.1045983,-0.07957221,0.05284388
-1.7117329,-0.18738763,0.07648805
-3.7239544,-0.06408975,0.032482184
-1.5196791,0.013586052,0.038916513
-3.180136,-0.15997724,0.06551181
-1.0490749,-0.14484437,0.11538371
-4.025349,-0.105692476,0.054106735
-1.2181844,-0.13540204,0.0453752
-0.17908925,-0.11068081,0.043598905
1.6502576,-0.0036721784,0.04482002
-0.77322805,-0.112869315,0.039776277
-1.0812604,-0.19652031,0.055569503
-2.107426,-0.12172732,0.046734355
-0.029506445,-0.24205017,0.052006926
-2.8682797,-0.050941866,0.06205522
-0.31861538,-0.05266313,0.058707226
-3.0522218,-0.043221552,0.04090495
-1.0183737,-0.16696168,0.057024054
-0.8197535,-0.21732655,0.049630497
-1.8792316,-0.3454839,0.0690138
-3.796293,-0.16988257,0.056773055
0.35164154,-0.19902347,0.051123764
0.70736396,-0.2668719,0.06320221
-1.2498207,-0.13262293,0.058164157
0.5696074,-0.10395268,0.040331744
-2.9662175,-0.011998352,0.041925
-3.3016791,-0.023605354,0.048705097
-2.925838,-0.06759134,0.04131031
-2.6848485,-0.13822612,0.043675426
-2.5402899,-0.023805339,0.037411552
-2.5015204,-0.035804473,0.044952814
-1.4713287,-0.18519485,0.05312889
-1.252141,-0.06777977,0.07659248
-4.402815,-0.0246489,0.03982239
-4.1310706,-0.17757633,0.050764162
-2.3761454,-0.21811618,0.04489935
-4.3895125,-0.29011086,0.06597495
-3.5081475,-0.17924158,0.049695566
-2.6551976,-0.26339597,0.05436265
-3.7784371,-0.16811669,0.051220924
-3.7911823,-0.07944982,0.053396933
-4.4753675,-0.16224785,0.052398667
-5.3413754,-0.19911739,0.06264601
-4.8901634,-0.00031477958,0.07581496
-4.3641124,-0.01542743,0.054967374
-7.4252486,-0.04969783,0.06338698
-5.5630984,-0.19263683,0.049276803
-4.3935375,-0.08132258,0.039070103
-4.46367,-0.16439763,0.080739126
-5.01898,-0.03939827,0.041612595
-2.7879727,-0.25244406,0.043701228
0.31840622,-0.14569187,0.05601387
1.2778943,-0.18839192,0.049594596
0.08128303,-0.10748726,0.05136508
-4.5480347,-0.07355355,0.039128736
-3.1243963,-0.13545251,0.061974518
-1.9287539,-0.12224178,0.03875878
-3.6177347,-0.36342296,0.055222727
-2.8084517,-0.1708874,0.04341614
-4.586008,-0.08777927,0.055531923
-4.4449725,-0.33911955,0.064434215
-3.1370666,-0.13164267,0.03527038
-4.234841,-0.12775701,0.062337648
-3.0147629,-0.08217426,0.045470007
-2.5276647,-0.050201297,0.13337056
-3.7140987,-0.22967617,0.05355527
-3.0654926,-0.21618673,0.070884734
-2.4460492,-0.1404231,0.05694218
-4.535125,-0.1584534,0.049961332
